,PubChem_pattern,SMARTS,images
536,CC1CC(S)CCC1,[#6][#6]1[#6][#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/536.png
537,CC1CC(N)CCC1,[#6][#6]1[#6][#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/537.png
538,CC1CC(Cl)CCC1,[#6][#6]1[#6][#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/538.png
539,CC1CC(Br)CCC1,[#6][#6]1[#6][#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/539.png
540,OC1CC(O)CCC1,[#8][#6]1[#6][#6]([#8])[#6][#6][#6]1,../data/pubchemfp_pattern_images/540.png
541,OC1CC(S)CCC1,[#8][#6]1[#6][#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/541.png
542,OC1CC(N)CCC1,[#8][#6]1[#6][#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/542.png
543,OC1CC(Cl)CCC1,[#8][#6]1[#6][#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/543.png
544,OC1CC(Br)CCC1,[#8][#6]1[#6][#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/544.png
545,SC1CC(S)CCC1,S[#6]1[#6][#6](S)[#6][#6][#6]1,../data/pubchemfp_pattern_images/545.png
546,SC1CC(N)CCC1,S[#6]1[#6][#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/546.png
547,SC1CC(Cl)CCC1,S[#6]1[#6][#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/547.png
548,SC1CC(Br)CCC1,S[#6]1[#6][#6]([#35])[#6][#6][#6]1,../data/pubchemfp_pattern_images/548.png
549,NC1CC(N)CCC1,[#7][#6]1[#6][#6]([#7])[#6][#6][#6]1,../data/pubchemfp_pattern_images/549.png
550,NC1CC(Cl)CCC1,[#7][#6]1[#6][#6]([#17])[#6][#6][#6]1,../data/pubchemfp_pattern_images/550.png
